time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[9.9999999999997868 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999999999999787), damping_force=np.float64(0.0), contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.005375000, qpos=[2.7500171431601159 0], qvel=[0.0047976418975843411 0], normal_force=9.348320038041214, tangential_force=0.0, Fctrl=[9.8389275829563392 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.982856839883869), damping_force=np.float64(-0.14392925692753022), contact_flag=True, gap=-1.7143160115917766e-05, contact_distance=-1.7143160115917766e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.005500000, qpos=[2.7500177505310961 0], qvel=[0.0048589678406987316 0], normal_force=9.35331255426159, tangential_force=0.0, Fctrl=[9.8364804336827305 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.982249468903692), damping_force=np.float64(-0.14576903522096196), contact_flag=True, gap=-1.775053109609459e-05, contact_distance=-1.775053109609459e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.005625000, qpos=[2.7500183654515742 0], qvel=[0.0049193638256263741 0], normal_force=9.358253311359748, tangential_force=0.0, Fctrl=[9.8340536336568078 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.9816345484256), damping_force=np.float64(-0.14758091476879123), contact_flag=True, gap=-1.836545157418712e-05, contact_distance=-1.836545157418712e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.005750000, qpos=[2.7500189878064325 0], qvel=[0.0049788388659135069 0], normal_force=9.363142791606341, tangential_force=0.0, Fctrl=[9.8316470275898791 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.981012193567285), damping_force=np.float64(-0.1493651659774052), contact_flag=True, gap=-1.8987806432502197e-05, contact_distance=-1.8987806432502197e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.005875000, qpos=[2.7500196174816693 0], qvel=[0.0050374018954114494 0], normal_force=9.367981473212986, tangential_force=0.0, Fctrl=[9.8292604614681007 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.980382518330444), damping_force=np.float64(-0.15112205686234348), contact_flag=True, gap=-1.961748166934285e-05, contact_distance=-1.961748166934285e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.006000000, qpos=[2.7500202543643906 0], qvel=[0.0050950617689433384 0], normal_force=9.372769830353965, tangential_force=0.0, Fctrl=[9.8268937825409157 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.979745635609216), damping_force=np.float64(-0.15285185306830015), contact_flag=True, gap=-2.02543643905706e-05, contact_distance=-2.02543643905706e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.006125000, qpos=[2.7500208983427985 0], qvel=[0.0051518272629667069 0], normal_force=9.377508333184466, tangential_force=0.0, Fctrl=[9.8245468393122817 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.979101657201284), damping_force=np.float64(-0.15455481788900122), contact_flag=True, gap=-2.0898342798503222e-05, contact_distance=-2.0898342798503222e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.006250000, qpos=[2.750021549306183 0], qvel=[0.005207707076232684 0], normal_force=9.382197447862023, tangential_force=0.0, Fctrl=[9.822219481529773 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.978450693816754), damping_force=np.float64(-0.15623121228698053), contact_flag=True, gap=-2.1549306183032968e-05, contact_distance=-2.1549306183032968e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.006375000, qpos=[2.7500222071449119 0], qvel=[0.0052627098304411533 0], normal_force=9.386837636566886, tangential_force=0.0, Fctrl=[9.8199115601746954 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.97779285508793), damping_force=np.float64(-0.1578812949132346), contact_flag=True, gap=-2.2207144911856602e-05, contact_distance=-2.2207144911856602e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.006500000, qpos=[2.7500228717504207 0], qvel=[0.0053168440708921292 0], normal_force=9.391429357522538, tangential_force=0.0, Fctrl=[9.8176229274523177 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.977128249579081), damping_force=np.float64(-0.15950532212676388), contact_flag=True, gap=-2.287175042070544e-05, contact_distance=-2.287175042070544e-05, rho=0.0, mode=CONTACT, phase=SETTLE
