time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.002625000, qpos=[2.7500059568567439 0], qvel=[0.0032095872054764209 0], normal_force=9.317468745131523, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.956856743871697e-06, contact_distance=-5.956856743871697e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.002750000, qpos=[2.7500063687196956 0], qvel=[0.0032949036123349801 0], normal_force=9.32648078451614, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-6.368719695615255e-06, contact_distance=-6.368719695615255e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.002875000, qpos=[2.7500067911063848 0], qvel=[0.0033790935142704627 0], normal_force=9.335410226968168, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-6.791106384795853e-06, contact_distance=-6.791106384795853e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003000000, qpos=[2.7500072238772892 0], qvel=[0.0034621672358994414 0], normal_force=9.344257764674031, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-7.223877289241898e-06, contact_distance=-7.223877289241898e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003125000, qpos=[2.7500076668941662 0], qvel=[0.0035441350153151874 0], normal_force=9.353024084779864, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-7.666894166202809e-06, contact_distance=-7.666894166202809e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003250000, qpos=[2.7500081200200417 0], qvel=[0.0036250070047177045 0], normal_force=9.36170986940276, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-8.120020041690879e-06, contact_distance=-8.120020041690879e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003375000, qpos=[2.7500085831192007 0], qvel=[0.0037047932710423596 0], normal_force=9.370315795644482, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-8.583119200711309e-06, contact_distance=-8.583119200711309e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003500000, qpos=[2.7500090560571753 0], qvel=[0.0037835037965867993 0], normal_force=9.378842535600565, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-9.056057175271803e-06, contact_distance=-9.056057175271803e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003625000, qpos=[2.7500095387007351 0], qvel=[0.0038611484796367288 0], normal_force=9.387290756375915, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-9.538700735056693e-06, contact_distance=-9.538700735056693e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003750000, qpos=[2.7500100309178768 0], qvel=[0.0039377371350897391 0], normal_force=9.39566112009779, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.0030917876768797e-05, contact_distance=-1.0030917876768797e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.003875000, qpos=[2.7500105325778135 0], qvel=[0.0040132794950775152 0], normal_force=9.403954283929176, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.0532577813471278e-05, contact_distance=-1.0532577813471278e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004000000, qpos=[2.7500110435509648 0], qvel=[0.0040877852095863683 0], normal_force=9.412170900084556, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.1043550964817683e-05, contact_distance=-1.1043550964817683e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004125000, qpos=[2.7500115637089455 0], qvel=[0.0041612638470757985 0], normal_force=9.42031161584204, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.1563708945505624e-05, contact_distance=-1.1563708945505624e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004250000, qpos=[2.7500120929245573 0], qvel=[0.0042337248950955432 0], normal_force=9.428377073563906, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.2092924557283169e-05, contact_distance=-1.2092924557283169e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004375000, qpos=[2.7500126310717774 0], qvel=[0.0043051777609000551 0], normal_force=9.436367910709397, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.2631071777402525e-05, contact_distance=-1.2631071777402525e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004500000, qpos=[2.7500131780257489 0], qvel=[0.0043756317720613806 0], normal_force=9.444284759851875, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.3178025748850075e-05, contact_distance=-1.3178025748850075e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004625000, qpos=[2.750013733662771 0], qvel=[0.0044450961770798958 0], normal_force=9.452128248697345, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.3733662771020505e-05, contact_distance=-1.3733662771020505e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004750000, qpos=[2.7500142978602891 0], qvel=[0.004513580145992728 0], normal_force=9.45989900010018, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.4297860289058661e-05, contact_distance=-1.4297860289058661e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.004875000, qpos=[2.7500148704968854 0], qvel=[0.0045810927709802052 0], normal_force=9.467597632084228, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.4870496885421858e-05, contact_distance=-1.4870496885421858e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.005000000, qpos=[2.7500154514522688 0], qvel=[0.0046476430669696771 0], normal_force=9.475224757858097, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.5451452268777643e-05, contact_distance=-1.5451452268777643e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.005125000, qpos=[2.7500160406072651 0], qvel=[0.0047132399722374149 0], normal_force=9.482780985835767, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.604060726512202e-05, contact_distance=-1.604060726512202e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.005250000, qpos=[2.7500166378438089 0], qvel=[0.0047778923490079438 0], normal_force=9.49026691965746, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.6637843808897657e-05, contact_distance=-1.6637843808897657e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.005375000, qpos=[2.7500172430449319 0], qvel=[0.0048416089840507617 0], normal_force=9.497683158205621, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.724304493189166e-05, contact_distance=-1.724304493189166e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.005500000, qpos=[2.7500178560947557 0], qvel=[0.0049043985892750592 0], normal_force=9.505030295629306, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.785609475568606e-05, contact_distance=-1.785609475568606e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.005625000, qpos=[2.750018476878481 0], qvel=[0.0049662698023213965 0], normal_force=9.512308921361607, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.847687848099966e-05, contact_distance=-1.847687848099966e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.005750000, qpos=[2.7500191052823793 0], qvel=[0.0050272311871511956 0], normal_force=9.519519620142384, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.9105282379250355e-05, contact_distance=-1.9105282379250355e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
